ancestor_celltype	node_celltype	n_clones	clone_nrs	clones
PCs_SILP-INF	GC_B_cells_SI-PP-nonINF	3	1, 3, 16	2018_1, 500_1, 9994_1
PCs_SILP-nonINF	GC_B_cells_SI-PP-nonINF	3	1, 10, 16	2457_1, 500_1, 9994_1
PCs_SILP-nonINF	PCs_SILP-INF	3	1, 3, 16	2018_1, 500_1, 9994_1
GC_B_cells_SI-PP-nonINF	PCs_SILP-INF	2	1, 8	500_1, 5725_1
Memory_Bcells_SI-MILF-nonINF	GC_B_cells_SI-PP-nonINF	2	2, 13	2885_1, 6361_1
Memory_Bcells_SI-PP-nonINF	GC_B_cells_SI-PP-nonINF	2	12, 13	6361_1, 7177_1
GC_B_cells_SI-PP-nonINF	GC_B_cells_SI-MILF-nonINF	1	1	500_1
GC_B_cells_SI-PP-nonINF	Memory_Bcells_SI-MILF-nonINF	1	2	2885_1
GC_B_cells_SI-PP-nonINF	Memory_Bcells_SI-PP-nonINF	1	13	6361_1
GC_B_cells_SI-PP-nonINF	PCs_SILP-nonINF	1	1	500_1
PCs_SILP-INF	GC_B_cells_SI-MILF-nonINF	1	1	500_1
PCs_SILP-INF	Memory_Bcells_SI-MILF-nonINF	1	3	2018_1
PCs_SILP-INF	PCs_SI-PP-nonINF	1	1	500_1
PCs_SILP-INF	PCs_SILP-nonINF	1	1	500_1
PCs_SILP-nonINF	GC_B_cells_SI-MILF-nonINF	1	1	500_1
PCs_SILP-nonINF	PCs_SI-PP-nonINF	1	1	500_1
