fragment,follicle_1,follicle_2,distance_px
A,10,11,81.7
A,2,3,85.6
A,5,9,89
A,4,9,103.9
A,15,16,107.1
A,4,6,109.1
A,6,9,117.3
A,2,7,120.2
A,2,8,124.1
A,4,15,124.1
A,7,8,125.4
A,13,17,132.4
A,6,15,136.4
A,12,14,143.6
A,17,18,148.4
A,4,16,148.7
A,1,9,150.7
A,1,4,154.3
A,3,8,159.6
A,13,14,175.2
A,7,11,177.8
A,5,6,181.9
A,8,12,182.6
A,14,17,185.7
A,12,18,186.9
A,4,5,192.9
A,1,5,195.3
A,10,14,197.3
A,3,7,202.5
A,14,18,207.8
A,9,15,213
A,6,16,220.1
A,8,11,224.6
A,11,14,225
A,2,5,242.9
A,1,6,244
A,1,16,246.2
A,3,5,246.6
A,9,16,252.5
A,7,10,258.2
A,12,17,262.4
A,13,18,264.1
A,8,14,270.5
A,11,12,270.7
A,1,15,271.2
A,10,13,284.4
A,7,12,285.2
A,10,12,285.5
A,8,10,287.4
A,2,11,291.1
A,5,15,297.8
A,2,12,305
A,12,13,306.4
A,2,9,316.1
A,1,2,316.6
A,3,12,316.7
A,5,7,318.2
A,1,7,319.3
A,7,14,326.7
A,3,9,331.6
A,5,16,341.4
A,11,13,348.1
A,10,17,362.4
A,3,11,363.8
A,5,8,367
A,1,3,367.4
A,2,10,367.9
A,8,18,368.5
A,7,9,371.2
A,2,14,390.8
A,10,18,404.5
A,11,17,406.4
A,2,4,408.2
A,11,18,420.7
A,1,8,421.4
A,2,6,423.9
A,3,6,426
A,3,14,426.7
A,3,4,432.2
A,8,17,434.5
A,3,10,436.2
A,8,9,438.7
A,8,13,445
A,4,7,445.6
A,1,11,450.3
A,7,18,470.4
A,6,7,487.3
A,7,13,488
A,2,18,488.7
A,3,18,488.7
A,5,11,491.2
A,7,17,508.7
A,1,10,526.9
A,2,15,527.6
A,4,8,527.6
A,9,11,534
A,3,15,543.8
A,2,16,544.8
A,5,12,546.6
A,6,8,547.8
A,2,17,558.5
A,2,13,563.4
A,7,16,564.3
A,7,15,569.6
A,5,10,572.8
A,3,16,576.7
A,3,17,578.6
A,4,11,594.5
A,1,12,599.7
A,3,13,601.9
A,9,10,615.1
A,9,12,620.8
A,5,14,630.7
A,1,14,642.8
A,8,15,648.8
A,6,11,651.3
A,8,16,659.2
A,4,10,673.4
A,11,16,693.6
A,9,14,694
A,4,12,710.2
A,11,15,717.6
A,5,18,727.7
A,6,12,728.3
A,6,10,732.4
A,10,16,768
A,4,14,772.3
A,1,18,786.4
A,1,13,794
A,10,15,795.9
A,5,13,800.2
A,5,17,801.3
A,9,18,804.7
A,6,14,807.9
A,1,17,826.8
A,12,15,831.3
A,12,16,840.4
A,9,13,859
A,9,17,869.9
A,14,16,888.9
A,4,18,895.9
A,15,14,896.2
A,6,18,909.6
A,4,13,931.5
A,4,17,952.4
A,6,13,974.6
A,6,17,981.4
A,15,18,1016.2
A,16,18,1027.2
A,13,16,1039.3
A,13,15,1055.5
A,16,17,1072.6
A,15,17,1075.8
