"seq_unique","GC_B_cells","PCs"
"seq1",3,1
"seq10",1,0
"seq11",1,0
"seq12",1,0
"seq13",1,0
"seq14",1,0
"seq15",0,1
"seq16",0,1
"seq17",1,0
"seq18",1,0
"seq19",2,0
"seq2",2,0
"seq20",1,0
"seq21",1,0
"seq22",1,0
"seq23",1,0
"seq24",1,0
"seq25",1,0
"seq26",1,0
"seq27",3,0
"seq28",4,0
"seq29",1,0
"seq3",7,0
"seq4",0,7
"seq5",1,0
"seq6",1,0
"seq7",1,0
"seq8",1,0
"seq9",1,0
